neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
0,0.858719,0.817366,1.384268,2.532614
1,1.005784,0.998249,1.274706,2.298491
2,0.901124,0.796922,1.349195,2.689392
3,0.877767,0.804398,1.384166,2.596242
4,0.906052,0.773366,1.339158,2.562059
5,0.952891,0.842325,1.401482,2.564667
6,0.886128,0.797920,1.267232,2.516988
7,1.005159,0.873718,1.386372,2.662188
8,0.970211,0.931233,1.390671,2.705531
9,0.891130,0.798899,1.313636,2.505133
10,0.895301,0.859997,1.565069,2.535527
11,0.965539,0.819359,1.304542,2.409098
12,0.974638,0.864181,1.505754,2.661536
13,0.979125,0.788131,1.309752,2.432618
14,0.918517,0.803829,1.292492,2.418134
15,0.943597,0.898585,1.556232,2.817208
16,0.887742,0.804014,1.352149,2.581353
17,0.951550,0.806703,1.409847,2.786597
18,0.868555,0.756251,1.239038,2.486226
19,0.908737,0.779006,1.215541,2.452953
20,0.994527,0.926973,1.385000,2.578122
21,0.938550,0.885375,1.491414,2.682395
22,0.869481,0.756478,1.313933,2.519233
23,0.970426,0.914492,1.632191,2.749541
24,0.886900,0.800337,1.258193,2.323735
25,0.911518,0.847990,1.389368,2.543418
26,0.983983,0.854258,1.346278,2.733749
27,0.919965,0.833680,1.440402,2.578826
28,0.953635,0.906273,1.368241,2.684244
29,0.894151,0.804794,1.373481,2.666253
30,0.945100,0.799571,1.311658,2.461722
31,0.923806,0.835601,1.312892,2.533531
32,0.941117,0.898702,1.577451,2.589502
33,1.003916,0.914498,1.462885,2.602962
34,0.902178,0.829629,1.387796,2.591771
35,0.918130,0.778182,1.375276,2.618143
36,0.985257,0.839337,1.210972,2.529574
37,0.976800,0.848997,1.323218,2.358064
38,0.882541,0.757432,1.350542,2.609260
39,0.945389,0.812695,1.277285,2.553891
40,0.967982,0.813422,1.413721,2.437823
41,0.931417,0.772833,1.307775,2.541218
42,0.929910,0.762559,1.304082,2.427248
43,0.924364,0.797546,1.258089,2.281892
44,0.939802,0.852499,1.276247,2.629147
45,0.929169,0.831863,1.470536,2.467212
46,1.009899,0.930564,1.364329,2.553752
47,1.037517,0.889650,1.446993,2.419466
48,1.005239,0.920788,1.380185,2.439373
49,0.984541,0.865372,1.276929,2.383193
50,0.924220,0.836984,1.488633,2.603852
51,0.987068,0.834606,1.283962,2.476454
52,0.961585,0.843148,1.378520,2.621999
53,0.972104,0.847460,1.422120,2.659090
54,0.878901,0.815392,1.177462,2.468004
55,0.881948,0.763293,1.349713,2.625201
56,1.006104,0.839924,1.355376,2.530841
57,0.964258,0.863675,1.450814,2.678999
58,0.982619,0.832935,1.339426,2.564473
59,0.992123,0.932100,1.328875,2.588735
60,0.922173,0.865694,1.313436,2.402069
61,0.982079,0.828324,1.361530,2.408906
