neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
0,2.901153,9.887224,30.694212,180.799118
1,2.602158,9.543654,34.421719,189.121307
2,3.064231,10.125528,32.179382,190.027573
3,2.497447,7.875690,29.465588,191.885193
4,2.848814,10.078291,31.282059,185.647415
5,2.663726,9.219919,28.916172,186.103012
6,2.840413,9.654726,28.409525,187.483307
7,2.482804,7.887110,27.429588,202.423752
8,2.443573,7.870835,27.115261,184.361282
9,2.496411,8.818185,30.791340,196.043350
10,2.357059,9.109715,29.527065,178.997162
11,2.332295,7.315200,26.979305,188.006149
12,2.518537,8.210857,27.875736,188.423630
13,2.766655,9.039277,30.488764,182.971008
14,2.699142,9.116515,29.614294,183.443039
15,2.619235,9.513126,34.690037,194.184052
16,2.260430,7.228061,27.823986,192.831711
17,2.511726,8.347067,29.449093,180.809952
18,2.836804,9.282613,30.893299,187.141022
19,2.346690,7.898277,27.635118,181.002441
20,2.506037,8.218997,28.998867,182.305756
21,3.160728,10.712173,32.256657,184.374939
22,2.710637,9.037554,28.178898,186.480072
23,2.478312,7.586442,27.411417,202.895508
24,2.959340,9.357349,29.953249,177.922882
25,2.567655,8.036340,29.348644,184.129242
26,2.878036,9.754100,30.166670,177.199570
27,3.185549,11.309597,32.418964,188.256409
28,2.498737,8.113222,29.473246,190.776398
29,2.471209,7.978407,29.225815,177.482635
30,2.463043,8.353473,31.581161,201.505569
31,2.557876,8.883407,29.916603,179.383026
32,2.782887,9.548567,30.725201,190.196503
33,2.535021,7.910347,31.408468,195.844421
34,2.619704,9.755235,34.348728,193.166824
35,2.484103,8.519793,28.812428,182.040588
36,2.699943,8.251683,27.925316,189.249176
37,2.378156,8.331583,27.933514,185.573669
38,2.753051,9.527556,28.208870,183.681244
39,2.487795,8.540078,27.609421,181.738220
40,2.714835,9.281589,29.567440,184.727112
41,2.781898,9.177881,29.543606,187.644501
42,2.247924,6.934869,27.310638,195.098602
43,2.993136,9.815550,29.195730,182.100632
44,2.602304,10.299370,34.337627,188.905060
45,2.783587,9.225471,29.562130,183.575150
46,3.125805,10.203157,35.662491,188.243362
47,3.049106,10.070825,30.973877,179.783005
48,2.841445,9.607996,30.745544,189.918579
49,2.439844,8.050862,30.314610,198.258240
50,2.749017,9.210531,30.536800,188.929367
51,2.400083,7.259695,28.149780,201.457550
52,2.823049,9.913698,30.571970,179.280411
53,2.545952,8.381064,29.836441,188.809418
54,2.363957,7.856558,27.470982,183.951721
55,2.222090,8.039092,28.558527,182.568954
56,3.283898,10.918595,30.201508,185.544601
57,2.534784,7.852450,27.775038,185.354980
58,2.330860,8.132714,28.349169,177.986176
59,2.360086,7.755905,30.837410,192.846298
60,2.857169,9.210356,30.410669,175.689285
61,2.541984,8.995743,30.411736,185.903046
62,2.361133,8.614029,30.984251,189.138123
63,2.375558,7.079482,27.911364,182.620819
64,2.333544,7.280658,28.320080,194.369812
65,2.642065,8.568008,28.651985,187.471588
66,2.310403,8.472522,29.340946,193.437546
67,2.918082,10.315350,32.039814,189.606613
68,2.417087,8.603642,30.405893,191.342163
69,2.572976,8.303357,30.672827,182.297913
70,2.548600,7.516629,28.409422,181.705399
71,2.627572,9.001429,29.601398,186.452637
72,2.223999,6.912297,27.665676,186.350220
73,2.473538,8.716533,29.115036,187.645782
74,3.021332,10.417026,31.385647,177.341202
75,2.552433,8.198960,30.138964,202.641754
76,2.577477,8.616576,28.476572,185.884521
77,2.303401,6.951046,28.422804,187.645233
78,2.733164,10.340473,35.523220,195.376144
79,2.591428,8.783901,31.108681,184.434525
80,2.292157,7.723256,27.878891,205.135315
81,2.349251,7.604462,28.780554,193.637115
82,2.499278,7.474148,30.134001,185.191910
83,2.706696,9.199194,28.741585,179.326416
84,2.632113,10.295548,33.561504,187.336044
85,2.412773,7.135061,28.706039,177.810394
86,2.377362,8.031574,29.892578,196.960022
87,2.525329,7.908274,29.775455,191.680023
88,2.434597,7.444627,27.146065,179.564178
