neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
0,7.968083,8.852869,10.477542,13.042179
1,8.361856,8.348370,9.965103,12.507816
2,7.914361,8.554398,10.274525,12.777181
3,7.769525,8.476758,10.431618,13.779230
4,7.944310,8.937363,9.895655,13.255511
5,8.140196,8.729620,10.484870,13.546831
6,7.821749,8.313912,10.065364,12.758269
7,8.174128,9.023843,10.642776,13.489350
8,7.620868,8.335446,10.714853,12.864263
9,7.709734,8.910999,10.414231,12.966330
10,7.599748,8.987298,11.163988,14.140429
11,8.183554,8.865202,10.745326,13.459640
12,7.888762,8.916191,10.201207,13.624858
13,8.257481,9.149857,10.368656,13.567720
14,7.876604,9.414302,10.660452,13.425694
15,7.752759,8.641912,10.138587,13.072403
16,7.876804,8.447274,10.238555,13.226754
17,7.590002,8.577488,10.329857,13.088636
18,7.707368,9.194715,11.061528,13.532239
19,7.831594,8.575298,9.778083,13.010193
20,7.452902,7.989789,9.678522,12.863861
21,7.567797,8.977194,10.140553,12.773755
22,7.843029,9.339000,10.839325,13.567733
23,7.777582,8.556194,10.823559,13.779819
24,7.729235,8.685866,10.423584,12.803967
25,8.002194,8.752987,10.666607,13.548513
26,8.130054,8.956690,10.748253,13.739993
27,7.777422,8.285783,11.293096,13.510683
28,7.731819,8.856340,10.566755,13.090588
29,7.617151,8.637748,10.346616,12.948791
30,7.600902,8.789934,9.608137,12.852298
31,7.668218,8.246740,11.397054,14.110565
32,7.530899,8.727329,10.899635,13.962832
33,8.031502,8.991345,11.592267,13.922435
34,7.637840,8.878775,10.358381,13.365334
35,7.565244,8.457507,10.263173,13.582985
36,7.562293,9.214087,10.290135,14.810095
37,7.905471,8.947323,10.296220,13.634480
38,7.391472,8.788744,10.247455,13.424435
39,7.475190,8.732759,9.985109,13.402828
40,8.387869,9.393322,10.800847,14.098283
41,8.005301,8.890403,10.342101,13.903109
42,8.000147,8.800900,10.106730,13.554840
43,7.754817,8.686794,10.521628,13.453520
44,7.598782,8.230939,10.005466,13.150620
45,8.420453,8.777895,10.091434,13.031646
46,7.473480,8.922896,10.349825,12.863512
47,7.519267,8.708499,10.230583,12.920193
48,7.894732,8.835992,10.142807,13.620218
49,8.149088,9.049685,10.140674,13.610487
50,7.689839,9.029634,10.805140,13.005177
51,7.986582,9.065927,10.491159,13.401580
52,7.827644,8.297555,9.597296,13.021669
53,8.255011,9.185061,11.551151,13.976816
54,8.501026,8.580937,10.610637,14.180093
55,7.926868,9.189460,10.913394,14.041672
56,7.882705,8.420130,10.228488,12.847540
57,8.283501,9.024769,10.071751,13.487997
58,7.719679,8.727300,10.485441,13.584228
59,8.130963,8.595907,10.545736,13.689578
60,7.983321,8.497905,9.725739,12.743799
61,8.164158,9.040122,10.491717,13.248467
62,7.801518,9.019040,11.243223,13.945143
63,7.719222,8.882798,10.460197,13.437698
64,7.897339,9.112103,10.207202,12.622857
65,7.901433,8.907688,9.872663,13.231150
66,8.423071,8.558569,9.869717,12.907069
67,8.031755,8.773020,10.248430,12.857508
68,7.739586,8.828567,10.384967,12.907964
69,8.467472,9.698083,11.644096,13.864284
70,8.179726,9.468989,11.250450,14.795731
71,7.635208,8.386291,10.557653,13.465235
72,8.079947,9.076503,10.650438,14.078835
73,7.904457,9.048917,9.948606,12.618280
74,8.345361,9.041823,11.870337,14.493779
75,7.761085,8.843591,10.631807,12.587782
76,7.719668,8.684841,9.975621,13.233564
77,7.807431,8.280783,10.722420,13.847717
78,7.775817,8.957356,11.051571,14.312051
79,8.030655,8.972576,10.279369,13.953609
80,7.452928,8.888900,10.000044,13.592834
81,8.358307,9.401053,11.164150,13.985210
82,8.425524,8.660501,9.979040,12.740338
83,7.925369,9.178594,10.911885,13.831022
84,7.735669,9.560557,10.607707,13.712488
85,7.990096,8.968154,10.105785,12.866480
86,8.111535,9.219554,10.935019,14.516720
87,8.189455,8.425649,10.742859,14.154614
88,8.160441,9.399352,11.294397,13.975887
89,8.210262,9.158228,10.365477,13.069508
90,8.670130,9.420698,11.283895,13.499571
91,7.563508,8.260174,11.096684,13.374079
92,7.667163,8.615216,9.755865,13.143620
93,7.727289,8.388676,10.022726,13.231949
94,8.341255,9.636320,11.176148,14.096272
95,7.992692,8.480921,10.835923,13.141115
96,8.153132,8.701140,11.268520,13.577298
97,7.926990,9.018480,11.729690,13.609161
98,7.870697,8.941566,10.549904,12.983322
99,8.268120,8.953019,10.689520,13.306335
100,7.954511,9.301705,11.077801,13.154006
101,7.844728,8.820992,11.287606,13.857489
102,7.511642,8.803458,10.388607,12.860252
103,8.178775,8.710386,10.341705,13.302368
104,8.270346,8.955956,10.092523,12.795139
105,7.493823,8.405162,10.291496,13.544555
106,8.033917,8.584662,10.571691,13.109154
107,7.939019,8.412885,10.365483,13.312683
108,8.191977,8.596809,11.669324,13.958852
109,7.715629,8.137680,10.332077,13.082605
110,7.629539,8.697415,10.292880,13.237185
111,7.810555,8.632082,10.424517,12.579140
112,8.346542,9.251797,9.970791,13.206196
113,8.230227,8.706212,10.955642,14.245399
114,7.541440,8.447660,10.391977,13.452086
115,8.208190,9.149441,10.178609,13.724247
116,7.658986,8.594663,10.024106,13.351156
117,7.719611,8.507504,10.094577,13.170547
118,8.209023,9.320281,10.758499,13.338276
119,7.722848,8.594472,10.305102,13.227059
120,7.666375,8.543339,10.847580,13.094936
121,7.995782,8.964624,10.542301,12.710411
122,8.263559,9.146503,10.774196,13.236809
123,8.116204,8.458508,10.527835,13.556010
124,7.990692,8.616770,10.402410,13.507853
125,8.200697,8.753546,10.062623,13.293536
126,7.593173,8.615231,10.531239,13.854284
127,7.964924,8.907057,10.104067,13.793337
128,8.027524,9.146859,9.916836,12.472800
129,7.567683,8.445465,9.782688,12.771646
130,8.008965,9.000267,10.455588,13.393337
131,7.945343,8.808053,9.711834,13.084558
132,7.994645,8.921460,10.750928,13.104215
133,7.863078,8.775759,10.107224,12.519641
134,8.245760,9.069211,11.103415,13.759658
135,8.102879,8.234668,9.587887,12.952940
136,7.618394,8.875347,10.260416,12.963383
137,7.866572,8.488074,9.946321,12.960730
138,7.838740,8.669125,9.951199,12.565556
139,8.287941,9.144968,10.918869,14.166109
140,8.485275,9.187395,11.849358,13.766083
141,7.861307,8.274386,9.632319,13.463058
142,7.978306,9.125878,10.657866,13.739174
143,7.870287,8.167892,10.137444,12.481178
144,7.906512,9.074625,10.528584,13.769958
145,7.928048,8.793209,9.479406,13.574763
146,7.927481,8.551382,10.374619,12.876322
147,8.084648,8.754660,10.489058,13.191106
148,8.449646,9.072780,11.114967,14.551260
149,7.889371,8.649286,11.334784,13.662597
150,7.297137,8.272314,10.087651,12.839231
151,7.835185,8.913273,10.868282,13.689274
152,7.817833,8.707815,10.282439,13.366290
153,8.146731,8.137112,10.105682,13.301147
154,8.118248,8.433309,9.932775,13.008346
155,8.318115,9.593127,11.124373,13.633192
156,8.334616,9.506058,10.095316,13.736226
157,7.912605,8.851395,10.359703,13.211418
158,7.958057,8.964560,10.546290,14.188120
159,9.009696,9.129487,11.161085,13.915456
160,8.275146,8.483686,10.322250,13.008482
161,8.356899,9.244714,10.652216,13.852596
162,8.270831,9.059208,10.002430,13.040785
163,8.311722,9.056321,10.736176,13.736962
164,7.667984,8.428232,10.331341,12.959407
165,7.707273,8.700334,10.393163,13.055925
166,7.811710,8.853620,10.430060,13.769154
167,7.824780,8.837288,10.066450,12.842953
168,7.895915,8.677481,10.102695,13.061116
169,7.558193,9.022703,10.572479,13.163416
170,7.750212,8.791754,10.630952,13.433114
171,8.046134,9.040278,11.373009,13.606675
172,7.894560,8.799994,10.808498,13.345665
173,7.673255,8.707122,10.700964,12.878003
174,7.897346,8.805942,10.312977,13.219772
175,8.062450,9.067587,11.224118,13.278142
176,7.676714,8.700485,10.158136,13.056222
177,7.969927,8.695584,10.268300,12.555926
178,7.707944,8.915112,10.660354,12.683287
179,7.877131,9.242000,10.553333,13.341031
180,7.928319,8.608611,10.206269,12.837697
181,7.568276,8.162208,10.854879,12.740929
182,8.367783,8.337191,10.737242,13.316689
183,7.855556,8.268439,9.943657,12.873860
184,7.825837,8.735188,10.770047,13.262577
185,7.660982,7.953282,10.150000,13.053921
186,7.988204,9.336568,11.632135,14.064778
187,7.689907,8.821568,10.565032,13.161842
188,7.781974,8.996721,10.705049,12.978538
189,7.806784,8.612734,11.396376,14.341488
190,7.196286,8.698957,10.286438,12.994345
191,7.702395,8.717384,10.082853,13.427851
192,7.899805,8.631716,10.295550,13.673254
193,7.974559,8.759408,10.169330,13.122920
194,8.011407,9.010911,9.975794,13.127667
195,8.032417,8.377656,9.721392,13.165943
196,8.213037,8.823797,11.492126,14.565800
197,8.043893,8.805208,10.176728,12.401577
198,7.861340,8.425418,10.186000,13.070196
199,7.688559,8.663075,10.204291,13.161866
200,8.244397,9.181484,10.683629,13.121833
201,7.814292,8.410816,10.116966,12.749826
202,7.819179,8.631505,10.070288,12.475846
203,7.788055,8.544036,9.934431,13.311581
204,7.785466,9.458095,10.541132,13.123793
205,8.037758,9.727658,11.360729,14.053837
206,8.430803,8.896766,10.488216,13.045418
207,8.361481,8.906118,10.764826,13.284152
208,7.836941,8.971950,11.577865,13.893227
209,7.970562,9.219028,10.591903,13.163978
210,7.566455,8.575975,9.875298,12.629194
211,7.670557,8.824382,10.073245,13.122437
212,7.498450,8.560227,10.228662,13.072372
213,7.662013,9.062088,9.922820,13.415657
214,7.711632,8.982896,10.374014,12.936966
215,7.590678,8.765615,10.175245,13.262858
216,8.198177,8.854918,9.833794,12.793345
217,7.973393,8.922795,9.875286,12.942812
218,7.765572,8.681223,9.752327,12.453691
219,7.987916,8.708721,10.250159,13.111225
220,8.230893,9.084379,11.130567,13.946150
221,8.075772,8.824690,11.727369,14.242250
222,7.786068,8.347492,10.182597,13.293311
223,7.593904,9.133817,10.936125,13.507403
224,7.656410,8.786139,10.016510,12.942335
225,8.224755,8.890513,10.441258,13.687239
226,8.079441,9.423366,10.723075,13.571645
227,7.684972,8.449478,10.212856,13.070369
228,8.053295,8.661974,10.254619,13.425564
229,7.774281,8.663352,10.515893,13.273743
230,8.140613,8.780231,10.098022,13.329090
231,7.582887,8.768194,11.183175,14.091759
232,7.618339,8.305292,10.874159,13.043619
233,7.461288,8.692717,10.134627,12.646695
234,7.560519,8.337025,9.900764,13.463067
235,7.808327,8.704324,10.826546,13.880169
236,7.745327,8.482201,10.339729,13.295703
237,7.739417,8.763912,10.472661,12.624451
238,7.671823,9.022839,9.898607,12.315778
239,7.575073,8.776840,11.137407,15.533977
240,7.845827,8.930409,11.224884,13.445677
241,8.271558,8.633569,10.756889,13.354427
242,7.627504,8.415503,9.864634,12.597518
243,7.747799,8.792866,10.789660,12.895546
244,7.655418,8.902958,10.662450,13.120464
245,7.956851,8.707497,10.623585,13.032907
246,7.588033,8.606344,10.272563,12.966550
247,7.936578,8.598647,10.621105,13.397774
248,7.630373,8.792221,11.595956,14.974127
249,7.664522,7.920650,9.844267,13.202424
250,7.804309,8.520841,10.342672,12.962605
251,7.854917,8.234724,10.479545,13.866651
252,8.158560,8.457120,10.240413,13.786756
253,7.806402,8.566709,10.143845,13.162748
254,7.573965,8.687367,10.499539,13.138125
255,7.755080,8.773992,10.392838,12.711571
column_sum,2023.991943,2250.413574,2684.116455,3417.065918
