neuron,stage1 (/4),stage2 (/8),stage3 (/16),stage4 (/32)
0,2.057590,3.029936,6.237994,8.165793
1,2.227906,3.207078,6.143422,8.293070
2,2.284127,3.492586,5.905310,7.203997
3,2.206506,2.983419,5.482686,9.579047
4,1.944398,3.374027,5.859195,6.888591
5,2.029708,2.926655,5.956075,8.590500
6,2.018183,3.350588,6.009794,6.900595
7,2.393428,3.346965,6.497179,9.497092
8,2.093950,3.051627,6.571211,9.003243
9,1.961724,3.129771,5.616168,7.217835
10,2.373535,3.626370,6.663687,9.266914
11,2.155262,3.170794,6.124577,7.775553
12,2.062513,2.993765,5.985027,7.908440
13,1.789457,2.743222,6.069907,7.412594
14,1.968053,3.199118,6.022130,7.425308
15,2.291443,3.214909,6.171552,8.476569
16,2.460762,3.647300,6.050422,9.109771
17,2.129787,3.035510,5.853677,9.709690
18,2.256655,3.311849,5.616014,6.998268
19,2.213593,3.367668,6.137270,7.679937
20,2.148301,3.115838,5.934307,8.425454
21,2.085327,3.061540,5.697346,7.785687
22,1.949490,3.088794,5.815492,7.391860
23,1.911387,2.914178,5.890291,7.715044
24,1.965473,2.892748,5.558371,6.774096
25,1.976668,3.032439,5.971485,8.566448
26,2.001464,3.091220,6.349015,9.842679
27,1.867252,3.159803,6.012521,7.222013
28,2.185038,3.292476,5.842140,7.448588
29,2.459914,3.475716,6.622921,8.664448
30,2.138195,2.944305,5.807706,7.794958
31,2.258705,3.394925,6.563347,9.954179
32,2.405223,3.332192,5.922850,8.153121
33,2.204304,3.134233,5.941412,7.882467
34,1.922876,3.055234,5.535267,7.311005
35,2.135247,3.416476,5.641631,7.371428
36,2.200575,3.520434,6.094982,8.622398
37,2.093172,3.188827,5.901005,6.981953
38,2.018021,3.156956,5.836446,7.727988
39,1.976656,3.247346,5.759511,7.293551
40,2.286809,3.146261,5.981902,8.288029
41,2.350380,3.604760,6.777197,10.097939
42,2.192612,3.176809,5.486550,7.360686
43,2.089844,3.113622,5.892427,7.407009
44,2.079324,3.428407,5.930425,7.073458
45,2.507787,3.381961,6.122986,9.058666
46,1.895443,3.356463,6.205443,7.017864
47,2.169361,3.271225,5.889662,7.309549
48,2.060025,3.499931,6.202615,6.945119
49,2.124026,3.394742,6.442266,7.100091
50,2.062356,3.374472,5.915721,6.739380
51,2.400869,3.718013,5.897591,8.886824
52,2.296919,3.731203,5.911347,9.488320
53,1.913650,3.288226,5.914832,7.097849
54,2.137240,3.122850,6.252052,8.011111
55,2.086867,3.458911,5.655007,7.503387
56,2.385744,3.483959,5.918930,9.665289
57,2.246100,3.014428,5.603817,8.854065
58,2.053348,3.265498,5.986359,6.992830
59,2.086801,3.508826,5.986951,7.294573
60,2.166781,3.267890,6.366567,6.708480
61,2.328303,3.442218,5.859953,6.822455
62,2.119592,3.141282,5.972332,8.939171
63,2.312913,3.569445,5.990974,9.240819
64,1.925372,3.205813,5.827937,7.195855
65,2.373394,3.319093,6.042104,8.170424
66,2.015504,3.196126,5.921918,6.923960
67,2.001229,3.097463,5.342012,8.102265
68,2.252322,3.191159,5.725841,7.664010
69,2.047232,2.947132,5.650522,8.271762
70,2.363429,3.164284,6.237022,9.190166
71,2.066219,3.137965,5.807104,8.642875
72,2.187038,3.003035,6.400520,8.138158
73,2.059657,3.249878,5.775615,7.152922
74,2.356384,3.383636,6.517800,9.573914
75,2.034601,3.047709,6.089639,7.107533
76,2.090389,3.221189,5.909473,8.185170
77,2.090921,3.086094,5.934689,7.199761
78,2.061386,3.173621,5.767969,7.646235
79,1.796574,2.689712,5.846186,7.485809
80,2.201429,3.284404,6.150872,8.247876
81,2.365133,3.734618,5.735460,6.946878
