neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
0,6.733892,8.118416,11.634733,16.428392
1,6.392278,8.188433,10.913282,15.979355
2,6.422112,8.466509,11.809503,16.328167
3,6.493621,8.627110,11.663424,15.772511
4,6.810848,8.891914,12.209178,17.342268
5,6.699681,8.253997,11.892817,17.015696
6,6.949585,9.073194,11.640108,16.101568
7,6.889795,8.433444,12.229995,16.928535
8,6.449404,8.474050,11.707543,15.593544
9,6.978530,8.387386,11.565657,15.910041
10,6.854612,8.388307,11.703284,15.801420
11,6.402130,8.305812,11.765742,15.799596
12,6.629796,8.729385,11.546735,16.031763
13,6.511007,8.287931,11.397435,16.067135
14,6.517700,8.760262,12.138062,17.320892
15,6.720736,8.914366,11.688962,16.547344
16,6.727598,8.748565,12.942711,18.044403
17,6.888102,8.401865,11.489656,15.882458
18,6.842967,8.111307,11.223230,15.265145
19,6.886330,8.800303,11.887999,17.049168
20,6.900123,8.510633,11.717196,16.894308
21,6.689537,8.078508,11.161131,15.623356
22,6.587426,8.732387,12.035366,16.865915
23,6.384701,8.324170,11.955224,15.701485
24,6.466756,8.643127,11.376602,16.453606
25,6.770749,8.350166,11.624917,16.371117
26,6.795310,8.334385,10.884859,15.683229
27,6.832789,8.303023,10.901315,15.796422
28,6.814819,8.404566,11.528591,15.748760
29,7.118352,8.858646,11.759636,17.058313
30,7.004982,8.132475,12.400204,16.231510
31,7.210844,8.762017,11.924070,16.257761
32,6.987533,8.486783,11.579020,15.839306
33,6.617659,8.261922,11.571337,16.027975
34,6.581991,8.361778,12.711641,17.411932
35,6.767528,8.445305,11.606096,17.379732
36,6.574166,8.701905,11.246099,16.922714
37,6.587208,8.105081,11.814489,16.709499
38,6.708510,8.563206,11.687313,16.759735
39,6.640512,8.344449,11.616874,16.391054
40,6.595755,8.524923,12.190017,18.002907
41,6.839644,8.033673,11.067245,15.615824
42,6.714915,8.780122,12.823270,17.141447
43,6.687959,8.610410,13.296616,17.195036
44,6.667444,8.062258,11.654952,15.476773
45,6.669067,8.233199,11.169654,16.160242
46,6.662404,8.299565,11.504871,15.350434
47,6.606832,8.417269,12.778289,17.326967
48,6.413339,8.546594,11.558163,16.224850
49,6.426950,8.624589,12.058748,16.207533
50,6.406212,8.230255,11.818706,16.794548
51,6.635697,8.317467,11.852368,15.258047
52,6.667541,8.428972,11.515142,16.277220
53,6.762383,8.402431,11.491856,16.815907
54,6.690395,8.519257,12.104818,17.645826
55,6.825544,8.298737,11.061745,15.827518
56,6.964087,8.503737,12.074265,17.264521
57,6.727192,8.585259,11.789640,16.381948
58,6.228053,8.322057,12.389350,17.678005
59,6.276593,8.096564,11.699988,15.939896
60,6.695719,7.817323,10.867298,15.535677
61,6.912005,8.224755,11.514451,15.515637
62,6.588245,8.515361,11.635480,16.350046
63,7.053363,8.902360,11.807831,16.215187
64,6.387265,8.386082,11.350449,16.229055
65,6.896762,8.369834,11.265037,16.512415
66,6.735970,8.549680,11.254068,15.525620
67,6.628617,8.267037,11.726660,16.450798
68,6.700513,8.723004,12.957307,17.909750
69,6.766215,8.432881,11.759754,16.629404
70,6.773781,8.314533,11.598763,15.661643
71,6.473405,8.830826,12.001144,17.051003
72,6.288250,8.220503,11.804835,16.384102
73,6.496294,8.407005,11.012704,16.033661
74,6.742480,8.732565,11.707855,16.359087
75,6.513073,8.502398,11.575318,16.151346
76,6.788983,8.061715,11.513997,16.526257
77,7.053810,8.934115,12.236969,17.145044
78,6.684464,8.187110,11.349553,16.180550
79,6.616545,8.539038,12.122475,17.493547
80,6.594908,8.735326,11.769317,15.876833
81,6.855502,7.963586,11.328464,15.757536
82,6.951197,8.164176,11.275660,16.830490
83,7.010497,8.825595,11.451951,17.180401
84,6.536552,8.148563,11.371102,16.070791
85,6.962265,8.318073,11.999806,16.656837
86,6.598579,8.355521,11.701229,15.577215
87,6.476251,8.446838,11.670297,15.920914
88,6.587963,7.895417,11.576148,16.122768
89,7.001743,8.555771,11.422059,16.062614
90,6.573802,8.199930,12.185001,16.793659
91,6.268947,8.476024,12.567034,18.360113
92,6.652670,8.040543,12.258821,16.093731
93,6.376878,8.019094,10.840132,15.447376
94,6.529714,8.489090,11.173875,15.857508
95,6.930759,8.660717,12.251708,15.833755
