neuron,block 2 (/16),block 5 (/16),block 8 (/16),block 11 (/16)
0,2.740562,2.853022,5.050983,11.115652
1,2.511713,2.723587,4.906461,10.566856
2,2.753827,3.017205,5.598875,10.579944
3,2.748813,2.922288,5.129817,11.939579
4,2.686614,2.843582,5.150989,10.582829
5,2.618081,2.804853,5.158351,10.790092
6,2.671319,2.867542,5.140719,10.732965
7,2.710616,2.814315,5.284632,11.118598
8,2.663950,2.859444,5.093975,11.188275
9,2.640100,2.723135,5.320814,11.538647
10,2.697296,2.974612,5.201512,11.284021
11,2.640723,2.973764,5.090033,11.576085
12,2.678165,2.871149,5.095550,11.606766
13,2.744174,2.881560,5.235303,11.152081
14,2.593902,2.946667,4.780840,10.611439
15,2.599512,2.879279,4.820154,10.875606
16,2.626859,2.767037,4.954891,10.692451
17,2.665046,2.864768,5.052183,11.800480
18,2.681783,3.031409,5.079980,10.888774
19,2.767301,2.814671,5.150184,11.007724
20,2.659824,2.801771,4.971747,10.730091
21,2.666745,3.117909,5.672820,11.688735
22,2.793828,2.946565,4.975727,10.801417
23,2.837183,3.064870,5.834293,11.791913
24,2.668508,2.970787,5.207817,11.262595
25,2.659898,2.853308,5.236983,10.774547
26,2.728382,2.924088,5.038774,10.576285
27,2.798554,3.165306,5.459629,11.019852
28,2.674272,2.833274,5.563814,11.328657
29,2.603351,2.917732,5.336899,11.069825
30,2.627613,2.757982,5.147118,10.424406
31,2.826955,2.733621,5.452928,11.090165
32,2.788534,2.868325,4.851520,10.777100
33,2.835179,2.943595,5.165401,11.234735
34,2.704589,3.034406,5.008721,11.750336
35,2.588015,2.655685,5.034851,11.349295
36,2.683219,2.829924,5.298618,11.303661
37,2.657412,2.869298,5.116676,10.744538
38,2.873677,3.096829,5.291207,10.996436
39,2.716058,2.844393,5.216080,11.187636
40,2.693321,2.882237,5.007467,10.623542
41,2.781116,2.949115,5.353088,11.241827
42,2.634006,2.966260,5.068012,10.900689
43,2.668392,2.890412,5.000366,10.856052
44,2.699718,2.735856,4.923688,10.687433
45,2.654878,2.915554,5.610567,10.949461
46,2.760332,2.779507,5.228803,10.491689
47,2.709613,2.882444,4.981524,10.697124
48,2.838698,3.044212,5.223673,11.305828
49,2.652560,3.006377,5.041707,10.403524
50,2.722339,2.989800,5.150180,10.886624
51,2.798719,2.931754,5.261640,10.895668
52,2.651590,2.850044,5.186111,10.998660
53,2.600778,2.775084,5.024073,10.807919
54,2.702644,2.814467,5.140383,10.658113
55,2.690125,2.769944,5.162794,11.221375
56,2.723973,2.926889,5.307522,11.475215
57,2.733685,3.046381,5.147066,11.263666
58,2.925476,2.878861,5.453041,11.036111
59,2.706693,2.873237,5.613765,11.139540
60,2.511215,2.828535,5.179282,11.003087
61,2.666176,2.829544,4.878609,10.546632
62,2.752530,2.729693,4.918601,11.235762
63,2.668457,2.855017,4.831674,11.145250
64,2.838868,2.927874,5.289132,10.971245
65,2.676278,2.827981,5.069099,11.024231
66,2.872665,2.864996,5.174643,11.007667
67,2.855080,3.000696,5.376328,11.095418
68,2.692453,2.789740,5.010201,10.708730
69,2.594192,2.834329,4.657917,11.002778
70,2.562496,2.900718,5.001940,11.121994
71,2.618399,2.738540,5.050395,10.838016
72,2.738588,2.874256,4.990294,10.833425
73,2.612442,2.939373,4.995338,10.637606
74,2.601279,3.058931,5.190997,10.979974
75,2.693892,2.908777,4.978756,10.752584
76,2.802360,3.009497,4.934109,10.968982
77,2.549636,2.662449,5.024518,11.085875
78,2.662081,2.831461,5.200252,10.955221
79,2.846983,3.055982,5.677063,11.755731
80,2.716415,2.922705,5.213859,11.305943
81,2.686325,2.913388,5.619520,11.142658
82,2.599530,2.912025,4.931721,10.910009
83,2.656454,2.854253,4.639205,11.185005
84,2.720252,2.924423,4.951861,10.991309
85,2.577769,2.953317,5.311642,11.621866
